name,months,year,date,pm25_aqi,pm10_aqi,o3_aqi,no2_aqi,so2_aqi,overall_aqi
Traralgon,January,2020,2020-01-01,82.0,44.0,44.0,12.0,3.0,82.0
Traralgon,February,2020,2020-02-01,28.0,16.0,31.0,8.0,3.0,31.0
Traralgon,March,2020,2020-03-01,25.0,16.0,31.0,11.0,2.0,31.0
Traralgon,April,2020,2020-04-01,31.0,13.0,30.0,11.0,3.0,31.0
Traralgon,May,2020,2020-05-01,45.0,14.0,22.0,15.0,2.0,45.0
Traralgon,June,2020,2020-06-01,53.0,15.0,20.0,16.0,3.0,53.0
Traralgon,July,2020,2020-07-01,35.0,13.0,26.0,16.0,3.0,35.0
Traralgon,August,2020,2020-08-01,35.0,13.0,34.0,13.0,3.0,35.0
Traralgon,September,2020,2020-09-01,27.0,15.0,36.0,12.0,4.0,36.0
Traralgon,October,2020,2020-10-01,21.0,13.0,38.0,8.0,2.0,38.0
Traralgon,November,2020,2020-11-01,27.0,20.0,38.0,8.0,3.0,38.0
Traralgon,December,2020,2020-12-01,21.0,15.0,32.0,6.0,5.0,32.0
Traralgon,January,2021,2021-01-01,24.0,16.0,31.0,7.0,5.0,31.0
Traralgon,February,2021,2021-02-01,21.0,16.0,27.0,7.0,5.0,27.0
Traralgon,March,2021,2021-03-01,23.0,15.0,29.0,8.0,3.0,29.0
Traralgon,April,2021,2021-04-01,35.0,15.0,30.0,12.0,6.0,35.0
Traralgon,May,2021,2021-05-01,38.0,15.0,29.0,16.0,3.0,38.0
